Movie_ID,Name,Date,Rate,Votes,Genre,Duration,Type,Nudity,Violence,Profanity,Alcohol,Frightening
1038,6 Underground,2019,6.1,"155,099","Action, Thriller",128 ,Film,Moderate,Severe,Severe,Mild,Severe
1039,Insidious,2010,6.8,"292,636","Horror, Mystery, Thriller",103 ,Film,None,Mild,Mild,None,Severe
1040,Secretary,2002,7.0,"88,090","Comedy, Drama, Romance",107 ,Film,Severe,Moderate,Moderate,Moderate,Moderate
1041,An American Werewolf in London,1981,7.5,"99,655","Comedy, Horror",97 ,Film,Moderate,Severe,Moderate,Mild,Severe
1042,Jurassic World Fallen Kingdom,2018,6.2,"284,218","Action, Adventure, Sci-Fi",128 ,Film,None,Moderate,Mild,Mild,Moderate
1043,Werewolves Within,2021,6.0,"9,310","Comedy, Horror",97 ,Film,None,Moderate,Moderate,Mild,Moderate
1044,National Lampoons Animal House,1978,7.5,"116,601",Comedy,109 ,Film,Moderate,Mild,Moderate,Moderate,None
1045,Lady Bird,2017,7.4,"262,122","Comedy, Drama",94 ,Film,Moderate,None,Moderate,Mild,None
1046,Ghostbusters,2016,6.5,"213,425","Action, Comedy, Fantasy",117 ,Film,Mild,Mild,Mild,Mild,Mild
1047,Alien Covenant,2017,6.4,"266,421","Horror, Sci-Fi, Thriller",122 ,Film,Mild,Severe,Severe,Mild,Severe
1048,Sarangeui bulsachak,2017,8.7,"19,138","Adventure, Comedy, Romance",70 ,Series,None,Mild,Mild,Mild,Mild
1049,Diamonds Are Forever,1971,6.6,"101,298","Action, Adventure, Thriller",120 ,Film,Mild,Moderate,Mild,Mild,Moderate
1050,The Strangers,2008,6.2,"124,628","Horror, Mystery, Thriller",86 ,Film,Mild,Severe,Moderate,Mild,Severe
1051,Annihilation,2018,6.8,"299,235","Adventure, Drama, Horror",115 ,Film,Mild,Severe,Moderate,Mild,Severe
1052,Mr Mercedes,2018,7.8,"19,250","Crime, Drama, Mystery",60 ,Series,Moderate,Severe,Severe,Moderate,Severe
1053,Safe House,2012,6.7,"215,694","Action, Thriller",115 ,Film,Mild,Severe,Moderate,Mild,Moderate
1054,Harley Quinn,2012,8.5,"19,404","Animation, Action, Adventure",23 ,Series,Mild,Severe,Severe,Moderate,Moderate
1055,Romeo + Juliet,1996,6.7,"218,911","Drama, Romance",120 ,Film,Mild,Moderate,None,Moderate,Moderate
1056,The Twilight Saga Breaking Dawn  Part 2,2012,5.5,"239,785","Adventure, Drama, Fantasy",115 ,Film,Moderate,Severe,Mild,None,Moderate
1057,Terminator 2 Judgment Day,1991,8.5,"1,036,534","Action, Sci-Fi",137 ,Film,Mild,Moderate,Moderate,Mild,Moderate
